違規態樣,件數,金額總和,金額平均
延長工作時間未依規定加給工資;每七日中未有一日之休息作為例假;假日工資未給或於休假日工作未依規定加給工資,2,210000,105000
假日工資未給或於休假日工作未依規定加給工資;延長工作時間未依規定加給工資,2,140000,70000
未依規定給付延長工時工資;延長之工作時間連同正常工作時間，一日超過十二小時。延長之工作時間，一個月超過四十六小時。,2,80000,40000
工資未達法定基本工資,2,40000,20000
延長工作時間未依規定加給工資;每七日中未有一日之休息作為例假,2,80000,40000
延長工作時間一個月超過四十六小時,2,250000,125000
未逐日記載勞工出勤情形至分鐘為止;每七日中未有一日之休息作為例假,2,100000,50000
工資未定期給付勞工。,2,40000,20000
工資未全額給付給勞工,2,40000,20000
延長工作時間超過法令規定;每七日中未有一日之休息作為例假,2,190000,95000
未備置勞工名冊、出勤工作紀錄及薪資帳冊，或保存未達規定期限。,1,20000,20000
雇主對於機械之原動機、轉軸、齒輪、帶輪、飛輪、傳動輪、傳動帶等有危害勞工之虞之部分，應有護罩、護圍、套胴、跨橋等設備。,1,0,0
雇主對於高度在二公尺以上之工作場所邊緣及開口部分，勞工有遭受墜落危險之虞者，應設有適當強度之護欄、護蓋等防護設備。 所設之固定梯，其長度超過六公尺時 ，應每隔九公尺以下設一平台，且應於距梯底二公尺以上部分設置護籠或其他保護裝置。,1,0,0
桌上用研磨機，未具有可調整研磨輪與工作物支架之間隙在三毫米以下之工作物支架。,1,0,0
對鑽孔機、截角機等旋轉刃具作業，應明確告知並標示勞工不得使用手套，並使勞工確實遵守。 電腦數值控制或其他自動化機械具有危險之部分應設置護罩、護圍或具有連鎖性能之安全門等設備。,1,0,0
雇主對於機械、設備及其相關配件之掃除、上油、檢查、修理或調整有導致危害勞工之虞者，應停止相關機械運轉及送料。為防止他人操作該機械、設備及其相關配件之起動等裝置或誤送料，應採上鎖或設置標示等措施，並設置防止落下物導致危害勞工之安全設備與措施。 雇主對於射出成型機、鑄鋼造形機、打模機、橡膠加硫成型機、輪胎成型機及其他加壓成型之機械等，有危害勞工之虞者，應設置安全門、雙手操作式安全裝置、感應式安全裝置或其他安全裝置。,1,0,0
雇主依前項規定設置工作台有困難時，未採取張掛安全網或使勞工使用安全帶等防止勞工因墜落而遭致危險之措施，…。使用安全帶時，未設置足夠強度之必要裝置或安全母索，供安全帶鉤掛。,1,0,0
於易踏穿材料構築屋頂作業時，雇主應指派屋頂作業主管於現場辦理相關事項。,1,0,0
雇主應禁止與作業無關人員進入製造、處置或使用乙類物質或丙類物質之作業場所，並標示於顯明易見之處。 應禁止勞工在特定化學物質作業場所吸煙或飲食，且應將其意旨揭示於該作業場所之顯明易見之處。,1,0,0
未妥為規劃及採取必要之安全衛生措施,1,0,0
