違規態樣,件數,金額總和,金額平均
延長工作時間未依規定加給工資;假日工資未給或於休假日工作未依規定加給工資。,1,40000,40000
工資未依法給付給勞工;工資未定期給付勞工，或未提供工資各項目計算方式明細;出勤紀錄未逐日記載勞工出勤情形至分鐘為止,1,60000,60000
假日工資未給或於休假日工作未依規定加給工資;未依法給付休息日工作之工資,1,40000,40000
使勞工於休息日工作之工資未依法定標準加給。,1,20000,20000
出勤紀錄未逐日記載勞工出勤情形至分鐘為止;延長工作時間超過法令規定;工作規則未經主管機關核備;未使勞工每7日中有2日之休息，其中1日為例假，1日為休息日,1,80000,80000
未依規定提繳積欠工資墊償基金,1,20000,20000
未依規計給病假工資,1,20000,20000
未依規定給予勞工延長工時工資,1,50000,50000
雇主應採取適當之措施，防治性騷擾之發生，僱用受僱者三十人以上者，應訂定性騷擾防治措施、申訴及懲戒規範，並在工作場所公開揭示。,1,20000,20000
僱用受僱者三十人以上者，應訂定性騷擾防治措施、申訴及懲戒規範，並在工作場所公開揭示。,1,20000,20000
出勤紀錄未依規定逐日記載勞工出勤時間至分鐘為止,1,20000,20000
延長工作時間未依規定加給工資;延長工作時間超過法令規定;連續工作4小時未有30分鐘休息,1,120000,120000
未依規定簽訂定期契約，有繼續性工作應為不定期契約;未依規定給予勞工延長工時工資;使勞工延長工時超過法令規定;使勞工輪班間隔未達11小時以上之休息;未依規定給予勞工特別休假工資,1,130000,130000
未給付延時工資、1日工時超過12時、1個月延長工時超過46時、未給休息時間,1,120000,120000
延長勞工工時超過法令規定;未每7日中給予勞工1日之休息作為例假,1,60000,60000
延長工作時間未依規定加給工資；假日工資未給或於休假日工作未依規定加給工資,1,40000,40000
未全額給付工資,1,20000,20000
工資未依約定給付日期給付。,1,20000,20000
未依規定置備出勤紀錄,1,20000,20000
未依規定詳實記載工資清冊之工資各項目計算方式明細,1,20000,20000
延長工時超過法定上限;未有一例一休,1,40000,40000
未足額提撥勞工退休準備金,1,110000,110000
使勞工連續工作7日以上,1,50000,50000
延長工作時間未依規定加給工資;延長工作時間超過法令規定;每七日中未有一日之休息作為例假;假日工資未給或於休假日工作未依規定加給工資。,1,80000,80000
未依規定訂立工作規則或未將工作規則報請當地主管機關核備或未將核備後之工作規則公開揭示之,1,20000,20000
工資未全額直接給付勞工;未依規定置備勞工工資清冊;延長工作時間未依規定加給工資。,1,60000,60000
勞工因婚、喪、疾病或其他正當事由得請假；並依規給付工資,1,20000,20000
延長勞工之工作時間超過法令規定,1,20000,20000
未依規定提供勞工工資各項目計算方式明細。,1,20000,20000
雇主知悉性騷擾情形未採取立即有效之糾正及補救措施,1,20000,20000
未依法置備勞工名卡;未依法置備勞工工資清冊;未依法置備勞工出勤紀錄,1,130000,130000
工資未定期給付勞工，或未提供工資各項目計算方式明細;未依規定置備勞工出勤紀錄;工作規則未經主管機關核備;雇主未告知勞工排定特別休假;勞工之特別休假，因年度終結或契約終止而未休之日數，雇主未發給工資,1,170000,170000
薪資低於基本工資;未依法給付職業災害不能工作期間之原領工資補償,1,40000,40000
未依規定給予勞工延長工時工資;未有7日內給予1日之休息，作為例假;未依規定於年度終結時給付特別休假未休折算工資 ????,1,60000,60000
未依規定給付工作日加班費;未依規定給付休息日加班費,1,100000,100000
未全額給付工資予勞工,1,20000,20000
僱用受僱者30人以上者，未訂定性騷擾防治措施、申訴及懲戒規範，未在工作場所公開揭示。,1,20000,20000
工作規則未經主管機關核備;延長工作時間未依規定加給工資;未依法給付休息日工作之工資,1,60000,60000
"所從事之工作具有繼續性,違法簽訂定期契約",1,20000,20000
未依勞動基準法第24條規定計算延長工時之工資。,1,20000,20000
出勤紀錄未逐日記載勞工出勤情形至分鐘為止;未將勞工特別休假之期日及未休日數所發給之工資數額，記載於勞工工資清冊，或未將內容以書面通知勞工,1,40000,40000
工資未全額直接給付勞工；延長工時未依規定加給工資,1,40000,40000
延長工作時間超過法令規定;延長工作時間未依規定加給工資;未依法給付休息日工作之工資,1,60000,60000
未給付工資;未依規定給予加班費,1,40000,40000
國定假日出勤工資未加倍發給,1,20000,20000
未依規定給付特別休假未休工資,1,20000,20000
未逐日記載出勤情形至分鐘,1,20000,20000
雇主知悉性騷擾情事後，未採取立即有效之糾正及補救措施。,1,20000,20000
未依規定加給延長工時工資。,1,20000,20000
延長工時未依法令規定倍率計算加給工資(亦未補休)。,1,90000,90000
工資未定期給付勞工及未提供工資各項目計算方式明細。,1,20000,20000
工資之給付，除當事人有特別約定或按月預付者外，每月至少定期發給二次，並應提供工資各項目計算方式明細；按件計酬者亦同;工作規則未依規定報備並公告揭示。,1,40000,40000
未依法全額直接給付勞工工資,1,20000,20000
延長工時未依規定加給工資；延長工時超過法令規定,1,40000,40000
工資未依法給付給勞工;雇主未置備勞工工資清冊，或未記入發放工資、工資各項目計算方式明細、工資總額等事項，或工資清冊未保存5年;延長工作時間超過法令規定;延長工作時間未依規定加給工資;未依法給付休息日工作之工資,1,100000,100000
未依法給付遭遇職業災害死亡勞工之死亡補償,1,20000,20000
工資未全額給付;延長工時超過法定上限,1,40000,40000
延長勞工工作時間逾法令上限,1,50000,50000
工資未全額給付;未逐日記載勞工出勤情形至分鐘為止,1,40000,40000
未依規定給付延長工時工資;延長勞工工作時間超過法定限制,1,40000,40000
低於基本工資,1,20000,20000
每七日中未有一日之休息做為例假,1,50000,50000
工資之給付，除當事人有特別約定或按月預付者外，每月至少定期發給二次，並應提供工資各項目計算方式明細；按件計酬者亦同;每七日中未有一日之休息作為例假,1,40000,40000
未依規定給付延長工作時間工資;未依規定給予例假,1,40000,40000
雇主未依規定加給勞工延長工作時間工資;雇主延長勞工之工作時間超過法令規定;未依規定加倍發給勞基法第37條所定之休假出勤工資。,1,60000,60000
未依法給付勞工平日及休息日延長工作時間工資。,1,50000,50000
延長工時時數超過法定上限;未有一例一休,1,40000,40000
工資未全額給付;特休假未休日數未依規定折算工資,1,60000,60000
未依法給付延長工作時間工資,1,20000,20000
未達基本工資。,1,20000,20000
更換班次時未給予適當之休息時間,1,40000,40000
未給付延時工資,1,50000,50000
未依規定全額給付勞工工資;未依規定給予勞工延長工時工資,1,40000,40000
未依規定計給勞工延長工作時間工資,1,20000,20000
未依規定給付工作日及休息日加班費,1,100000,100000
未依規定發給服務證明書,1,20000,20000
雇主於知悉性騷擾之情形時，未採取立即有效之糾正及補救措施。,1,20000,20000
雇主對求職者或受僱者之招募、甄試、進用、分發、配置、考績或陞遷等，不得因性別或性傾向而有差別待遇。但工作性質僅適合特定性別者，不在此限。,1,300000,300000
出勤紀錄未逐日記載勞工出勤情形至分鐘為止;延長工作時間未依規定加給工資;未依法給付休息日工作之工資,1,120000,120000
僱用受僱者三十人以上者，應訂定性騷擾防治措施、申訴及懲戒規範，並在工作場所公開揭示,1,20000,20000
採用8週彈性工時未經法定程序同意,1,20000,20000
未依法定標準加給休息日工作之工資，延長工作時間超過法令規定,1,250000,250000
未依規定加給休息日延長工作時間工資。特別休假於年度終結或契約終止而未休之日數未依規定發給工資。,1,40000,40000
延長工作時間超過法令規定採變形工時制度，未依規定安排勞工例假或休息日,1,200000,200000
未給予例假或休息日工資,1,20000,20000
以定期契約雇用勞工從事繼續性工作;工資未依法給付給勞工;假日工資未給或於休假日工作未依規定加給工資;勞工之特別休假，因年度終結或契約終止而未休之日數，雇主未發給工資,1,110000,110000
延長工作時間超過法令規定;假日工資未給或於休假日工作未依規定加給工資,1,40000,40000
工資未全額給付勞工，勞工每7日中至少應有1日之例假。,1,70000,70000
延長勞工之工作時間，一個月超過46小時。,1,50000,50000
延長之工作時間，1個月超過46小時,1,50000,50000
受僱者依前七條之規定為請求時，雇主不得拒絕。,1,20000,20000
延長工作時間超過法令規定;延長工作時間未依規定加給工資;採變形工時制度，未依規定安排勞工例假或休息日,1,150000,150000
要派單位於派遣事業單位與派遣勞工簽訂勞動契約前，有面試勞工之行為,1,100000,100000
延長工作時間未依規定加給工資;未依規定給予特別休假。,1,40000,40000
內政部所定應放假之紀念日、節日、勞動節及其他中央主管機關指定應放假日，均應休假。,1,20000,20000
未按規定給予職業災害死亡補償,1,20000,20000
出勤紀錄未依實登載至分鐘為止,1,20000,20000
延長工作時間未依規定加給工資;未依規定給予特別休假;假日工資未給或於休假日工作未依規定加給工資。,1,60000,60000
未繳納積欠工資墊償基金,1,40000,40000
延長工作時間未依規定加給工資;延長工作時間超過法令規定;使勞工繼續工作4小時未有至少30分鐘之休息,1,140000,140000
使勞工繼續工作4小時，未有至少30分鐘之休息,1,20000,20000
前項出勤紀錄，應逐日記載勞工出勤情形至分鐘為止。,1,20000,20000
未全額給付工資;未依法給付延長工時工資,1,40000,40000
延長之工作時間，1個月不得超過46小時,1,150000,150000
未依規定給付延長工時工資;延長工時高過法定上限;未有一例一休;國定假日出勤工資未加倍發給,1,80000,80000
未依規定置備勞工出勤紀錄表。,1,90000,90000
受僱者為育嬰留職停薪之請求，遭受不利處分,1,20000,20000
"「工資應全額直接
給付勞工。但法令另有規定或勞雇雙方另有約定者，不
在此限。",1,40000,40000
雇主於知悉性騷擾之情形時，應採取下列立即有效之糾正及補救措施；被害人及行為人分屬不同事業單位，且具共同作業或業務往來關係者，該行為人之雇主，...,1,20000,20000
延長工作時間未依規定加給工資;延長工作時間超過法令規定;每七日中未有一日之休息作為例假;未依規定給予特別休假,1,80000,80000
工資未定期給付勞工，或未提供工資各項目計算方式明細;延長工作時間超過法令規定;假日工資未給或於休假日工作未依規定加給工資;未按規定給假或請假期間未依規定給付工資;延長工作時間未依規定加給工資;勞工之特別休假，因年度終結或契約終止而未休之日數，雇主未發給工資,1,120000,120000
"勞工每七日中應有
二日之休息，其中一日為例假，一日為休息日。",1,50000,50000
未依規定給付延長工時工資;延長工作時間超過法定上限;未依規定每7日中給予勞工1日例假及1日休息日;國定假日出勤工資未加倍發給,1,80000,80000
懷孕解僱,1,300000,300000
雇主延長勞工工作時間者，其延長工作時間之工資，依下列標準加給;一、延長工作時間在二小時以內者，按平…;延長工作時間超過法令規定,1,40000,40000
加班費給付不足、僅以簽到進行交接班，且未紀錄到分鐘、未於終止勞動契約時結清未休假工資,1,60000,60000
未按規定給予職業災害死亡補償。,1,20000,20000
未依規定給付勞工特別休假未休之工資,1,20000,20000
工資未全額給付勞工;延長工作時間超過法定上限,1,40000,40000
未依規定置備勞工工資清冊;未依規定置備勞工出勤紀錄表。,1,110000,110000
未依規定給予例假或休息日。,1,50000,50000
雇主延長勞工工作時間，致勞工一日工作時間超過十二小時，或一個月延長工作時間超過四十六小時,1,20000,20000
依勞動基準法第80條規定拒絕、規避勞動檢查。,1,30000,30000
"延長工作時間未依規定加給工資;
更換班次時間未符合至少應有連續11小時之休息時間; 
使勞工連續出勤超過法定上限;
假日出勤工資未加倍給付",1,200000,200000
未依規定給予特別休假工資,1,20000,20000
"特休未依規定由
勞工排定或進行協商調整",1,20000,20000
出勤紀錄未逐日記載勞工出勤情形至分鐘為止;延長工作時間超過法令規定;延長工作時間未依規定加給工資,1,60000,60000
特別休假期日，由勞工排定之。,1,50000,50000
雇主未依規定給予繼續工作滿一定期間勞工之特別休假,1,20000,20000
未依規定給付延時工資;1日延長勞工之工作時間連同正常工作時間超過12小時之情形,1,40000,40000
雇主延長勞工工作時間者，其延長工作時間之工資，依下列標準加給：一、延長工作時間在二小時以內者，按平…；雇主使勞工於第三十六條所定休息日工作，工作時間在二小時以內者，其工資按平日每小時工資額另再加給一又...,1,100000,100000
未依規定期間預告;未依規定發給服務證明書。,1,40000,40000
工資未全額直接給付勞工;每七日中未有一日之休息作為例假。,1,40000,40000
勞工因遭遇職業災害而致死亡、失能、傷害或疾病時，雇主未規定予以補償,1,20000,20000
延長工作時間超過法令規定；勞工每七日中應有二日之休息，其中一日為例假，一日為休息日。,1,100000,100000
職場性騷擾雇主防治義務,1,0,0
與有繼續性工作者簽定期契約,1,30000,30000
未依勞動基準法第36條第1項規定每7日應有一日之休息作為例假。,1,50000,50000
雇主給付之休息日工資不足;延長勞工之工作時間超過法令規定。,1,100000,100000
未依規定置備勞工工資清冊;未逐日記載勞工出勤情形至分鐘為止;每七日中未有一日之休息作為例假;未依規定給予勞工職業災害補償,1,80000,80000
假日工資未給或於休假日工作未依規定加給工資;未依法給付休息日工作之工資;勞工之特別休假，因年度終結或契約終止而未休之日數，雇主未發給工資,1,220000,220000
延長工作時間連同正常工作時間1日超過12小時。,1,20000,20000
使勞工延長工作時間超過法令上限,1,20000,20000
雇主未依規定加給延長工作時間工資;使勞工連續出勤7天以上;勞工之特別休假，因年度終結或契約終止而未休之日數，雇主未發給工資;假日工資未給或於休假日工作未依規定加給工資。,1,80000,80000
每七日中未有一日之休息作為例假;假日工資未給或於休假日工作未依規定加給工資,1,100000,100000
雇主延長勞工工作時間者，其延長工作時間之工資，依下列標準加給：一、延長工作時間在二小時以內者，按平…;雇主使勞工於第三十六條所定休息日工作，工作時間在二小時以內者，其工資按平日每小時工資額另再加給一又...;延長工作時間超過法令規定,1,60000,60000
短付延時工資;使勞工於單週內工作總時數逾48小時,1,40000,40000
工資之給付，除當事人有特別約定或按月預付者外，每月至少定期發給二次，並應提供工資各項目計算方式明細；按件計酬者亦同。;未依規定置備勞工出勤紀錄，並保存5年,1,110000,110000
延長工作時間超過法令規定;延長工作時間超過法令規定,1,40000,40000
未依規定發給112年8月工資及應休未休工資,1,40000,40000
工資未定期給付勞工;延長工作時間未依規定加給工資。,1,40000,40000
"出勤紀錄
未詳實記載",1,20000,20000
出勤紀錄未逐日記載勞工出勤情形至分鐘為止;要派單位於派遣事業單位與派遣勞工簽訂勞動契約前，有面試該派遣勞工或其他指定特定派遣勞工之行為。,1,190000,190000
雇主延長勞工工作時間者，其延長工作時間之工資，依下列標準加給：一、延長工作時間在二小時以內者，按平日每小時工資額加給三分之一以上。;勞工因婚、喪、疾病或其他正當事由得請假；並依規給付工資,1,120000,120000
工作規則未依規定報備並公告揭示。,1,20000,20000
僱用勞工30人以上未依規定訂立工作規則並報當地勞政主管機關核備。,1,20000,20000
未依勞動基準法第21條第1項規定工資應達基本工資。,1,20000,20000
輪班更換班次未給予勞工至少連續11小時之休息時間,1,20000,20000
未依規定置備勞工工資清冊;每七日中未有一日之休息作為例假。,1,40000,40000
延長工作時間未依規定報主管機關備查，或事後補給勞工適當之休息。,1,20000,20000
"工資未全額直接
給付給勞工",1,20000,20000
延長工作時間超過法令規定;採變形工時制度，未依規定安排勞工例假或休息日,1,40000,40000
未經工會或勞資會議同意使勞工延長工時;延長工作時間未依規定加給工資,1,40000,40000
延長工作時間超過法令規定;每7日中未有2日之休息作為例假及休息日,1,200000,200000
未經工會或勞資會議同意使勞工延長工時;未依法給付休息日工作之工資,1,100000,100000
雇主使勞工繼續工作四小時未給與至少30分鐘之休息，且無本法第三十五條但書情形,1,20000,20000
未依勞動基準法第30條第5項規定備置勞工出勤紀錄並保存5年。,1,90000,90000
工資未全額直接給付勞工;未逐日記載勞工出勤情形至分鐘為止。,1,40000,40000
工資未依法給付給勞工;延長工作時間超過法令規定;未使勞工每7日中有2日之休息，其中1日為例假，1日為休息日,1,90000,90000
延長工時超過46小時,1,70000,70000
國定假日出勤未加倍給薪,1,50000,50000
勞工之特別休假期日未由勞工自行排定,1,20000,20000
延長之工作時間連同正常工作時間，一日超過十二小時。延長之工作時間，一個月超過四十六小時。,1,20000,20000
補發加班費未於給付工資時提供工資各項目計算方式明細,1,20000,20000
未給付休息日出勤工資,1,50000,50000
延長工作時間未依規定加給工資;未依規定給付休息日工作工資;假日工資未給或於休假日工作未依規定加給工資,1,250000,250000
未依法給付預告期間之工資;出勤紀錄未逐日記載勞工出勤情形至分鐘為止;延長工作時間超過法令規定;延長工作時間未依規定加給工資,1,140000,140000
未依規定將工資直接給付勞工。,1,20000,20000
延長之工作時間超過法令規定,1,50000,50000
"一個月之延長工
時超過46小時",1,50000,50000
勞工延長工時超過法定時間,1,150000,150000
未依規定給付休息日出勤工資;延長之工作時間連同正常工作時間，一日超過十二小時。延長之工作時間，一個月超過四十六小時。,1,40000,40000
"工資未全額直接
給付給勞工;未依規定給付特別休假未休工資",1,40000,40000
加班費未依法計算;未依規定給付特別休假未休工資,1,40000,40000
工資未依法給付給勞工;工資未定期給付勞工，或未提供工資各項目計算方式明細;未依規定置備勞工出勤紀錄;勞工之特別休假，因年度終結或契約終止而未休之日數，雇主未發給工資,1,150000,150000
未依規定置備勞工出勤紀錄;未依規定給予特別休假,1,110000,110000
未按規定置備勞工名卡;雇主未置備勞工工資清冊，或未記入發放工資、工資各項目計算方式明細、工資總額等事項，或工資清冊未保存5年;未依規定置備勞工出勤紀錄,1,130000,130000
部分工資項目未列入加班費計算,1,50000,50000
工資未全額直接給付勞工;工資未定期給付勞工,1,40000,40000
未依規定置備勞工出勤紀錄並保存5年,1,90000,90000
工資未全額直接給付勞工;未依規定給予特別休假。,1,40000,40000
未依規定加給延長工時工資;未逐日記載勞工正常工時出勤情形,1,40000,40000
超時工作,1,50000,50000
加班費未依法計算,1,20000,20000
1個月延長工作時間超過46小時,1,100000,100000
雇主延長勞工之工作時間連同正常工作時間，一個月不得超過46小時。,1,20000,20000
未按規定置備勞工名卡;雇主未置備勞工工資清冊，或未記入發放工資、工資各項目計算方式明細、工資總額等事項，或工資清冊未保存5年;出勤紀錄未逐日記載勞工出勤情形至分鐘為止;未使勞工每7日中有2日之休息，其中1日為例假，1日為休息日,1,80000,80000
工資由勞雇雙方議定之。但不得低於基本工資。,1,20000,20000
未依規定計算給予勞工延時工資;未依規定計給勞工特休未休工資;未依規定計給勞工休假日出勤加倍工資,1,150000,150000
晝夜輪班制更換工作班次未依規定給予休息;每七日中未有一日之休息作為例假,1,40000,40000
未依規定置備勞工名卡;未依規定置備勞工工資清冊;未依規定置備勞工出勤紀錄表。,1,130000,130000
"受僱者為育嬰留職停薪復職請求時，雇主不得拒絕。
受僱者為前項之請求時，雇主不得視為缺勤而影響其全勤獎金、考績或為其他不利之處分。",1,0,0
延長工作時間未依規定加給工資;未逐日記載勞工出勤情形至分鐘為止;每七日中未有一日之休息作為例假。,1,60000,60000
延長之工作時間連同正常工作時間，一日超過十二小時。延長之工作時間，一個月超過四十六小時。;勞工每七日中應有二日之休息，其中一日為例假，一日為休息日。,1,40000,40000
受僱者為生理假之請求，遭受不利處分,1,0,0
未依規定發給勞工資遣費,1,350000,350000
違反規定訂定定期契約;未依規定給予特別休假。,1,40000,40000
雇主未按月繳納積欠工資墊償基金,1,20000,20000
違反規定訂定定期契約。,1,20000,20000
延長工作時間未依規定加給工資;延長工作時間超過法令規定;每七日中未有一日之休息作為例假。,1,60000,60000
未達基本工資及工資未全額直接給付勞工,1,20000,20000
未依規定給予特別休假天數。,1,20000,20000
未全額給付工資。,1,20000,20000
未經工會或勞資會議同意使勞工延長工時,1,600000,600000
延長工作時間超過法令規定;延長工作時間未依規定加給工資;勞工之特別休假，因年度終結或契約終止而未休之日數，雇主未發給工資,1,120000,120000
工資未達法定基本工資;延長工作時間超過法令規定,1,110000,110000
延長工作時間連同正常工作時間，一日超過十二小時,1,20000,20000
未依規定給付延時工資,1,50000,50000
假日工資未給或於休假日工作未依規定加給工資;採變形工時制度，未依規定安排勞工例假或休息日,1,40000,40000
因天災、事變或突發事件，雇主有使勞工在正常工作時間以外工作之必要者，得將工作時間延長之。但應於延長開始後二十四小時內通知工會；無工會組織者，應報當地主管機關備查。延長之工作時間，雇主應於事後補給勞工以適當之休息,1,50000,50000
勞工在同一雇主或事業單位，繼續工作滿一定期間者，應依下列規定給予特別休假：一、六個月以上一年未滿者，三日。二、一年以上二年未滿者，七日。三、二年以上三年未滿者，十日。四、三年以上五年未滿者，每年十四日。五、五年以上十年未滿者，每年十五日。六、十年以上者，每一年加給一日，加至三十日為止。前項之特別休假期日，由勞工排定之。但雇主基於企業經營上之急迫需求或勞工因個人因素，得與他方協商調整。雇主應於勞工符合第一項所定之特別休假條件時，告知勞工依前二項規定排定特別休假。勞工之特別休假，因年度終結或契約終止而未休之日數，雇主應發給工資。但年度終結未休之日數，經勞雇雙方協商遞延至次一年度實施者，於次一年度終結或契約終止仍未休之日數，雇主應發給工資。…,1,20000,20000
未逐日記載勞工出勤情形至分鐘為止;延長工作時間超過法令規定,1,40000,40000
前項雇主延長勞工之工作時間連同正常工作時間，一日不得超過十二小時；延長之工作時間，一個月不得超過四十六小時，但雇主經工會同意，如事業單位無工會者，經勞資會議同意後，延長之工作時間，一個月不得超過五十四小時，每三個月不得超過一百三十八小時。,1,50000,50000
工資未全額直接給付勞工;未逐日記載勞工出勤情形至分鐘為止;請假期間未依規定給付工資,1,60000,60000
延長工作時間超過法令規定;勞工每七日中應有二日之休息，其中一日為例假，一日為休息日。,1,100000,100000
"延長工作時間超過法令規定
採變形工時制度，未依規定安排勞工例假或休息日",1,100000,100000
工資之給付，應以法定通用貨幣為之。但基於習慣或業務性質…。工資應全額直接給付勞工;工資之給付，除當事人有特別約定或按月預付者外，每月至少定期發給二次，並應提供工資各項目計算方式明細；按件計酬者亦同。,1,40000,40000
未依規定期限給付特別休假未休日數工資,1,20000,20000
"延長工作時間未依規定加給工資
未依規定給付休息日工作工資",1,100000,100000
不按期給付工資,1,20000,20000
延長工作時間之工資未依法令標準加給(漏計伙食費2400元),1,20000,20000
工資未定期給付勞工，或未提供工資各項目計算方式明細;未依規定置備勞工出勤紀錄,1,110000,110000
使勞工延長工作時間，1個月延長工作時間超過46小時,1,150000,150000
未依規定記載勞工出勤情形至分鐘為止,1,20000,20000
假日工資未給或於休假日工作未依規定加給工資;未使勞工每7日中有2日之休息，其中1日為例假，1日為休息日,1,40000,40000
未依規定計算給予勞工延時工資,1,20000,20000
雇主使勞工延長之工作時間，1個月超過46小時,1,50000,50000
薪資未全額給付,1,20000,20000
雇主未依規定加給勞工延長工作時間工資;雇主預先扣發勞工工資作為違約金或賠償費,1,110000,110000
延長之工作時間連同正常工作時間，一日超過十二小時。延長之工作時間，一個月超過四十六小時。;延長之工作時間，一個月超過四十六小時。;實施彈性工時，未依規定給予例假及休息日,1,40000,40000
雇主應防治性騷擾行為之發生。其僱用受僱者三十人以上者，應訂定性騷擾防治措施、申訴及懲戒辦法，並在工作場所公開揭示。,1,0,0
未依法給付勞工休息日延長工作時間工資;未依規定每7日中給予勞工1日例假及1日休息日;國定假日出勤工資未加倍給付。,1,60000,60000
未依法給付休假日工資,1,50000,50000
屬繼續性工作性質，與勞工簽定期契約,1,20000,20000
隔離期滿期間工資未全額直接給付給勞工,1,20000,20000
單日延長工作時間連同正常工作時間超過 12 小時 ，1 個月延長工作時間超過 46 小時。,1,50000,50000
工資未全額直接給付勞工;未依規定置備勞工工資清冊;未依規定置備勞工出勤紀錄表。,1,430000,430000
工資之給付，除當事人有特別約定或按月預付者外，每月至少定期發給二次，並應提供工資各項目計算方式明細；按件計酬者亦同;延長之工作時間連同正常工作時間，一日超過十二小時。延長之工作時間，一個月超過四十六小時。;實施變形工時後，未依規定給予例假及休息日。,1,60000,60000
前項出勤紀錄，應逐日記載勞工出勤情形至分鐘為止。勞工向雇主申請其出勤紀錄副本或影本時，雇主不得拒絕。,1,20000,20000
使勞工延長之工作時間，1個月超過46小時,1,50000,50000
以定期契約雇用勞工從事繼續性工作,1,20000,20000
未有每7日中至少1日為例假1日為休假,1,20000,20000
勞工休息日出勤工資給付不足;未有每7日中至少1日為例假1日為休假,1,40000,40000
延長工作時間未依規定加給工資;延長工作時間超過法令規定;每七日中未有一日之休息作為例假,1,80000,80000
月延長工時逾46小時，一日工作逾12小時,1,50000,50000
未依法給付休息日工作之工資;未使勞工每7日中有2日之休息，其中1日為例假，1日為休息日,1,40000,40000
工資未全額給付給勞工;未使勞工每7日中有2日之休息，其中1日為例假，1日為休息日,1,40000,40000
工資未全額給付給勞工;延長工作時間未依規定加給工資;未依法給付休息日工作之工資;未使勞工每7日中有2日之休息，其中1日為例假，1日為休息日,1,80000,80000
工資未按約定日期給付,1,20000,20000
工資未全額給付給勞工;雇主未置備勞工工資清冊，或未記入發放工資、工資各項目計算方式明細、工資總額等事項，或工資清冊未保存5年;未依規定置備勞工出勤紀錄,1,130000,130000
延長工作時間超過法令限制,1,100000,100000
工資未全額直接給付勞工;延長工作時間未依規定加給工資;延長工作時間超過法令規定,1,60000,60000
"延長工作時間未依規定加給工資;
使勞工連續出勤7天以上",1,40000,40000
勞動基準法第56條第2項,1,360000,360000
七日內未有一日例假,1,50000,50000
未依規定給付延長工時工資。,1,100000,100000
職災勞工於醫療不能工作期間，雇主未按其原領工資數額予以補償,1,20000,20000
出勤記錄未詳實記載,1,20000,20000
工資未全額給付給勞工;延長工作時間超過法令規定;勞工繼續工作四小時未給予至少三十分鐘之休息;延長工作時間未依規定加給工資,1,80000,80000
工資未定期給付勞工;未逐日記載勞工出勤情形至分鐘為止。,1,40000,40000
派遣事業單位與派遣勞工簽訂定期契約,1,20000,20000
1日工時超過12小時; 每7日中未有1日之休息作為例假,1,40000,40000
請喪假被扣薪,1,20000,20000
延長工時超過法令規定。,1,50000,50000
未依限期給付工資,1,40000,40000
未達基本工資。;延長工作時間未依規定加給工資。,1,40000,40000
雇主未置備勞工工資清冊，或未將發放工資、工資各項目計算方式明細、工資總額等事項記入工資清冊，或未保存勞工工資清冊五年,1,20000,20000
未依規定訂立工作規則,1,20000,20000
雇主終止與產假期間或職業災害醫療期間勞工之勞動契約;出勤紀錄未逐日記載勞工出勤情形至分鐘為止,1,110000,110000
未依法給付退休金,1,300000,300000
調整勞工例假而未依規定作備查法定程序,1,20000,20000
使勞工1個月延長工作時間超過46小時,1,50000,50000
出勤紀錄未逐日記載勞工出勤情形至分鐘為止;延長工作時間超過法令規定,1,40000,40000
未依規定給與職業災害補償,1,20000,20000
未計予延長工時工資;延長勞工之工作時間，一個月超過四十六小時。,1,106000,106000
"出勤紀錄未依規定記載至分鐘為止;
未依法給予國定假日之休假;
勞工之特別休假，因年度終結或契約終止而未休之日數，雇主未發給工資",1,60000,60000
未逐日記載勞工出勤情形至分鐘為止;每七日中未有一日之休息作為例假。,1,40000,40000
工資未全額直接給付勞工;工資未定期給付勞工;未逐日記載勞工出勤情形至分鐘為止,1,60000,60000
違反主管機關限期給付工資之命令。,1,20000,20000
未依法給付休息日工作之工資;勞工之特別休假，因年度終結或契約終止而未休之日數，雇主未發給工資;內政部所定應放假之紀念日、節日、勞動節及其他中央主管機關指定應放假日，均應休假。,1,60000,60000
未於薪資單提供工資(加班費)各項目計算方式明細;未依規定計給加班費;雇主延長勞工之工作時間連同正常工作時間，一日超過十二小時；延長之工作時間，一個月超過四十六小時,1,120000,120000
延長勞工工作時間超過法令規定,1,70000,70000
"要派單位於派遣事業單位與派遣勞工簽訂契約前,有面試派遣勞工的行為。",1,90000,90000
